title,authors,journal,pmid,page,url
Editorial: Ontario's Wait Time Information System: learning from success.,Closson T.,"{'name': 'Healthc Q', 'year': 2009, 'citation': 'Healthc Q. 2009;12 Spec No Ontario:1. doi: 10.12927/hcq.2009.20743.'}",19458501,3,https://pubmed.ncbi.nlm.nih.gov/19458501/
Healthcare information technology infrastructures in Turkey.,"Dogac A, Yuksel M, Ertürkmen GL, Kabak Y, Namli T, Yıldız MH, Ay Y, Ceyhan B, Hülür U, Oztürk H, Atbakan E.","{'name': 'Yearb Med Inform', 'year': 2014, 'citation': 'Yearb Med Inform. 2014 May 22;9(1):228-34. doi: 10.15265/IY-2014-0001.'}",24853036,3,https://pubmed.ncbi.nlm.nih.gov/24853036/
A scalable healthcare information system based on a service-oriented architecture.,"Yang TH, Sun YS, Lai F.","{'name': 'J Med Syst', 'year': 2011, 'citation': 'J Med Syst. 2011 Jun;35(3):391-407. doi: 10.1007/s10916-009-9375-5. Epub 2009 Sep 24.'}",20703551,3,https://pubmed.ncbi.nlm.nih.gov/20703551/
NIH/EPA Chemical Information System.,"Milne GW, Heller SR.","{'name': 'J Chem Inf Comput Sci', 'year': 1980, 'citation': 'J Chem Inf Comput Sci. 1980 Nov;20(4):204-11. doi: 10.1021/ci60024a003.'}",7440661,3,https://pubmed.ncbi.nlm.nih.gov/7440661/
"[Geographic information system, remote sensing technic and epidemiology].","Xu DZ, Zhang ZY.","{'name': 'Zhonghua Liu Xing Bing Xue Za Zhi', 'year': 2003, 'citation': 'Zhonghua Liu Xing Bing Xue Za Zhi. 2003 Apr;24(4):251-2.'}",15484382,3,https://pubmed.ncbi.nlm.nih.gov/15484382/
Towards a National Health Information System evaluation.,"Hyppönen H, Doupi P, Hämäläinen P, Komulainen J, Nykänen P, Suomi R.","{'name': 'Stud Health Technol Inform', 'year': 2010, 'citation': 'Stud Health Technol Inform. 2010;160(Pt 2):1216-20.'}",20841877,4,https://pubmed.ncbi.nlm.nih.gov/20841877/
Development of an information system for a physiotherapy department.,Calder DA.,"{'name': 'Physiother Can', 'year': 1985, 'citation': 'Physiother Can. 1985 Jan-Feb;37(1):25-30.'}",10269889,4,https://pubmed.ncbi.nlm.nih.gov/10269889/
Dealing with multi-source and multi-scale information in plant phenomics: the ontology-driven Phenotyping Hybrid Information System.,"Neveu P, Tireau A, Hilgert N, Nègre V, Mineau-Cesari J, Brichet N, Chapuis R, Sanchez I, Pommier C, Charnomordic B, Tardieu F, Cabrera-Bosquet L.","{'name': 'New Phytol', 'year': 2019, 'citation': 'New Phytol. 2019 Jan;221(1):588-601. doi: 10.1111/nph.15385. Epub 2018 Aug 28.'}",30152011,4,https://pubmed.ncbi.nlm.nih.gov/30152011/
SisLeish: A multi-country standardized information system to monitor the status of Leishmaniasis in the Americas.,"Maia-Elkhoury ANS, O B Valadas SY, Puppim-Buzanovsky L, Rocha F, Sanchez-Vazquez MJ.","{'name': 'PLoS Negl Trop Dis', 'year': 2017, 'citation': 'PLoS Negl Trop Dis. 2017 Sep 5;11(9):e0005868. doi: 10.1371/journal.pntd.0005868. eCollection 2017 Sep.'}",28873400,4,https://pubmed.ncbi.nlm.nih.gov/28873400/
A study on building data warehouse of hospital information system.,"Li P, Wu T, Chen M, Zhou B, Xu WG.","{'name': 'Chin Med J (Engl)', 'year': 2011, 'citation': 'Chin Med J (Engl). 2011 Aug;124(15):2372-7.'}",21933571,4,https://pubmed.ncbi.nlm.nih.gov/21933571/
Evaluative Frameworks and Models for Health Information Systems (HIS) and Health Information Technologies (HIT).,"Joseph AL, Stringer E, Borycki EM, Kushniruk AW.","{'name': 'Stud Health Technol Inform', 'year': 2022, 'citation': 'Stud Health Technol Inform. 2022 Jan 14;289:280-285. doi: 10.3233/SHTI210914.'}",35062147,4,https://pubmed.ncbi.nlm.nih.gov/35062147/
"Usability evaluation of emergency information systems in educational hospitals in Kerman, Iran.","Behnam F, Khajouei R, Nabizadeh AH, Saedi S, Ghaemi MM.","{'name': 'BMC Med Inform Decis Mak', 'year': 2023, 'citation': 'BMC Med Inform Decis Mak. 2023 Nov 30;23(1):277. doi: 10.1186/s12911-023-02357-3.'}",38037020,4,https://pubmed.ncbi.nlm.nih.gov/38037020/
Decision-support information system to manage mass casualty incidents at a level 1 trauma center.,"Bar-El Y, Tzafrir S, Tzipori I, Utitz L, Halberthal M, Beyar R, Reisner S.","{'name': 'Disaster Med Public Health Prep', 'year': 2013, 'citation': 'Disaster Med Public Health Prep. 2013 Dec;7(6):549-54. doi: 10.1017/dmp.2013.80. Epub 2013 Nov 27.'}",24280111,4,https://pubmed.ncbi.nlm.nih.gov/24280111/
A patient privacy protection scheme for medical information system.,"Lu C, Wu Z, Liu M, Chen W, Guo J.","{'name': 'J Med Syst', 'year': 2013, 'citation': 'J Med Syst. 2013 Dec;37(6):9982. doi: 10.1007/s10916-013-9982-z. Epub 2013 Oct 30.'}",24166018,4,https://pubmed.ncbi.nlm.nih.gov/24166018/
Research on application information system integration platform in medicine manufacturing enterprise.,"Deng W, Zhao H, Zou L, Li Y, Li Z.","{'name': 'J Med Syst', 'year': 2012, 'citation': 'J Med Syst. 2012 Aug;36(4):2289-95. doi: 10.1007/s10916-011-9695-0. Epub 2011 Apr 9.'}",21479623,4,https://pubmed.ncbi.nlm.nih.gov/21479623/
Clinical information system and quality of care in intensive care medicine: state of the art.,"Pietropaoli P, Donati A.","{'name': 'Minerva Anestesiol', 'year': 2004, 'citation': 'Minerva Anestesiol. 2004 Jun;70(6):521-3.'}",15235560,5,https://pubmed.ncbi.nlm.nih.gov/15235560/
Information system for the implementation of individual rehabilitation programs for persons with disabilities in Nizhny Novgorod region.,"Besstrashnova YK, Shoshmin AV, Nosov VA.","{'name': 'Stud Health Technol Inform', 'year': 2012, 'citation': 'Stud Health Technol Inform. 2012;174:79-83.'}",22491116,5,https://pubmed.ncbi.nlm.nih.gov/22491116/
Comprehensive Child Welfare Information System. Final rule.,"Administration on Children, Youth and Families (ACYF), Administration for Children and Families (ACF), Department of Health and Human Services (HHS).","{'name': 'Fed Regist', 'year': 2016, 'citation': 'Fed Regist. 2016 Jun 2;81(106):35449-82.'}",27295732,5,https://pubmed.ncbi.nlm.nih.gov/27295732/
The International Rice Information System. A platform for meta-analysis of rice crop data.,"McLaren CG, Bruskiewich RM, Portugal AM, Cosico AB.","{'name': 'Plant Physiol', 'year': 2005, 'citation': 'Plant Physiol. 2005 Oct;139(2):637-42. doi: 10.1104/pp.105.063438.'}",16219924,5,https://pubmed.ncbi.nlm.nih.gov/16219924/
Development and deployment of a health information system in transitional countries (croatian experience).,"Stevanovic R, Pristas I, Ivicevic Uhernik A, Stanic A.","{'name': 'Stud Health Technol Inform', 'year': 2005, 'citation': 'Stud Health Technol Inform. 2005;114:82-7.'}",15923763,5,https://pubmed.ncbi.nlm.nih.gov/15923763/
Hospital information systems.,"Bakker AR, Mol JL.","{'name': 'Eff Health Care', 'year': 1983, 'citation': 'Eff Health Care. 1983 Dec;1(4):215-23.'}",10310520,5,https://pubmed.ncbi.nlm.nih.gov/10310520/
Implementing a new health management information system in Uganda.,"Gladwin J, Dixon RA, Wilson TD.","{'name': 'Health Policy Plan', 'year': 2003, 'citation': 'Health Policy Plan. 2003 Jun;18(2):214-24. doi: 10.1093/heapol/czg026.'}",12740326,5,https://pubmed.ncbi.nlm.nih.gov/12740326/
Mobile technology in health information systems - a review.,"Zhang XY, Zhang PY.","{'name': 'Eur Rev Med Pharmacol Sci', 'year': 2016, 'citation': 'Eur Rev Med Pharmacol Sci. 2016 May;20(10):2140-3.'}",27249615,5,https://pubmed.ncbi.nlm.nih.gov/27249615/
An information system for community nursing.,"Sustersic O, Rajkovic V, Leskovar R, Bitenc I, Bernik M, Rajkovic U.","{'name': 'Public Health Nurs', 'year': 2002, 'citation': 'Public Health Nurs. 2002 May-Jun;19(3):184-90. doi: 10.1046/j.0737-1209.2002.19306.x.'}",11967104,5,https://pubmed.ncbi.nlm.nih.gov/11967104/
A secure integrated medical information system.,"Hsiao TC, Wu ZY, Chung YF, Chen TS, Horng GB.","{'name': 'J Med Syst', 'year': 2012, 'citation': 'J Med Syst. 2012 Oct;36(5):3103-13. doi: 10.1007/s10916-011-9793-z. Epub 2011 Nov 3.'}",22048781,5,https://pubmed.ncbi.nlm.nih.gov/22048781/
Evaluation of a Computerized Clinical Information System (Micromedex).,"Lundsgaarde HP, Moreshead GE.","{'name': 'Proc Annu Symp Comput Appl Med Care', 'year': 1991, 'citation': 'Proc Annu Symp Comput Appl Med Care. 1991:18-22.'}",1807583,6,https://pubmed.ncbi.nlm.nih.gov/1807583/
An automated radiology information system.,"Katz A, Budkin A, Shupler R.","{'name': 'Radiology', 'year': 1977, 'citation': 'Radiology. 1977 Sep;124(3):699-704. doi: 10.1148/124.3.699.'}",887762,6,https://pubmed.ncbi.nlm.nih.gov/887762/
Different usage of the same oncology information system in two hospitals in Sydney--lessons go beyond the initial introduction.,"Yu P, Gandhidasan S, Miller AA.","{'name': 'Int J Med Inform', 'year': 2010, 'citation': 'Int J Med Inform. 2010 Jun;79(6):422-9. doi: 10.1016/j.ijmedinf.2010.03.003. Epub 2010 Apr 3.'}",20371209,6,https://pubmed.ncbi.nlm.nih.gov/20371209/
[To intensify public health information sharing and utilization through a standardized information system construction].,"Jin SG, Liu LH.","{'name': 'Zhonghua Yu Fang Yi Xue Za Zhi', 'year': 2007, 'citation': 'Zhonghua Yu Fang Yi Xue Za Zhi. 2007 Sep;41(5):339-41.'}",18205998,6,https://pubmed.ncbi.nlm.nih.gov/18205998/
Health information system transferability evaluation.,"Dittmann JT, Leonard MS, Goldman J.","{'name': 'Comput Biomed Res', 'year': 1981, 'citation': 'Comput Biomed Res. 1981 Dec;14(6):559-69. doi: 10.1016/0010-4809(81)90013-6.'}",7326912,6,https://pubmed.ncbi.nlm.nih.gov/7326912/
An integrated information system for the intervention and prevention of AIDS.,"Li LX, Xu LD.","{'name': 'Int J Biomed Comput', 'year': 1991, 'citation': 'Int J Biomed Comput. 1991 Dec;29(3-4):191-206. doi: 10.1016/0020-7101(91)90037-f.'}",1778635,6,https://pubmed.ncbi.nlm.nih.gov/1778635/
The Community Health Information System (CHIS): delivering web-based customised healthcare using an AI-infused expert system.,"Razi M, Athappilly K, Rea A.","{'name': 'Int J Electron Healthc', 'year': 2009, 'citation': 'Int J Electron Healthc. 2009;5(3):303-25. doi: 10.1504/ijeh.2010.034178.'}",20643643,6,https://pubmed.ncbi.nlm.nih.gov/20643643/
Medical Information Management System (MIMS) CareWindows.,"Stiphout RM, Schiffman RM, Christner MF, Ward R, Purves TM.","{'name': 'Proc Annu Symp Comput Appl Med Care', 'year': 1991, 'citation': 'Proc Annu Symp Comput Appl Med Care. 1991:929-31.'}",1807755,6,https://pubmed.ncbi.nlm.nih.gov/1807755/
"Information system, data bases, and on-line services of the Japan Information Center of Science and Technology (JICST).",Uchida H.,"{'name': 'J Chem Inf Comput Sci', 'year': 1979, 'citation': 'J Chem Inf Comput Sci. 1979 Nov;19(4):199-201. doi: 10.1021/ci60020a003.'}",551969,6,https://pubmed.ncbi.nlm.nih.gov/551969/
Narrative notes in a nursing information system (NIS).,Porcella A.,"{'name': 'Proc AMIA Symp', 'year': 2001, 'citation': 'Proc AMIA Symp. 2001:538-42.'}",11825245,6,https://pubmed.ncbi.nlm.nih.gov/11825245/
Battling the challenges of training nurses to use information systems through theory-based training material design.,"Galani M, Yu P, Paas F, Chandler P.","{'name': 'Stud Health Technol Inform', 'year': 2014, 'citation': 'Stud Health Technol Inform. 2014;204:32-7.'}",25087524,7,https://pubmed.ncbi.nlm.nih.gov/25087524/
National Emergency Medical Services Information System (NEMSIS).,Dawson DE.,"{'name': 'Prehosp Emerg Care', 'year': 2006, 'citation': 'Prehosp Emerg Care. 2006 Jul-Sep;10(3):314-6. doi: 10.1080/10903120600724200.'}",16801268,7,https://pubmed.ncbi.nlm.nih.gov/16801268/
[Application of classified protection of information security in the information system of air pollution and health impact monitoring].,"Hao S, Lü Y, Liu J, Liu Y, Xu D.","{'name': 'Wei Sheng Yan Jiu', 'year': 2018, 'citation': 'Wei Sheng Yan Jiu. 2018 Jan;47(1):103-107.'}",29903233,7,https://pubmed.ncbi.nlm.nih.gov/29903233/
"Clinical information system services and capabilities desired for scalable, standards-based, service-oriented decision support: consensus assessment of the Health Level 7 clinical decision support Work Group.","Kawamoto K, Jacobs J, Welch BM, Huser V, Paterno MD, Del Fiol G, Shields D, Strasberg HR, Haug PJ, Liu Z, Jenders RA, Rowed DW, Chertcoff D, Fehre K, Adlassnig KP, Curtis AC.","{'name': 'AMIA Annu Symp Proc', 'year': 2012, 'citation': 'AMIA Annu Symp Proc. 2012;2012:446-55. Epub 2012 Nov 3.'}",23304315,7,https://pubmed.ncbi.nlm.nih.gov/23304315/
Utilization of patient reported outcomes measurement information system in plastic and reconstructive surgery research.,"Punreddy A, Guirguis PG, Youssef M, Botros M.","{'name': 'J Plast Reconstr Aesthet Surg', 'year': 2024, 'citation': 'J Plast Reconstr Aesthet Surg. 2024 Oct;97:124-132. doi: 10.1016/j.bjps.2024.07.049. Epub 2024 Jul 31.'}",39151283,7,https://pubmed.ncbi.nlm.nih.gov/39151283/
Evaluation of a prototype health information system using the FITT framework.,"Honekamp W, Ostermann H.","{'name': 'Inform Prim Care', 'year': 2011, 'citation': 'Inform Prim Care. 2011;19(1):47-9. doi: 10.14236/jhi.v19i1.793.'}",22118336,7,https://pubmed.ncbi.nlm.nih.gov/22118336/
The chemical information system and spectral databases.,Heller SR.,"{'name': 'J Chem Inf Comput Sci', 'year': 1985, 'citation': 'J Chem Inf Comput Sci. 1985 Aug;25(3):224-31. doi: 10.1021/ci00047a017.'}",4044685,7,https://pubmed.ncbi.nlm.nih.gov/4044685/
How to build an information system application to the health domain.,"Deliège D, Debacker Ch, Smeesters S, Knani H, Neirynck I, De Clercq E.","{'name': 'Stud Health Technol Inform', 'year': 2002, 'citation': 'Stud Health Technol Inform. 2002;93:9-17.'}",15058408,7,https://pubmed.ncbi.nlm.nih.gov/15058408/
The Laboratory Information System (LIS): I-Application to the clinical chemistry laboratory.,"Forest JC, Rheault C, Dang-Vu TK.","{'name': 'Clin Biochem', 'year': 1985, 'citation': 'Clin Biochem. 1985 Apr;18(2):78-84. doi: 10.1016/s0009-9120(85)80085-0.'}",4017227,7,https://pubmed.ncbi.nlm.nih.gov/4017227/
Strategies used to link Health Information Systems for the follow-up of women with abnormal mammograms in the Brazilian Public Health System.,"Tomazelli JG, Girianelli VR, Silva GAE.","{'name': 'Rev Bras Epidemiol', 'year': 2018, 'citation': 'Rev Bras Epidemiol. 2018 Aug 27;21:e180015. doi: 10.1590/1980-549720180015.'}",30156662,7,https://pubmed.ncbi.nlm.nih.gov/30156662/
The Georgetown University Library Information System (LIS): a minicomputer-based integrated library system.,Broering NC.,"{'name': 'Bull Med Libr Assoc', 'year': 1983, 'citation': 'Bull Med Libr Assoc. 1983 Jul;71(3):317-23.'}",6688749,8,https://pubmed.ncbi.nlm.nih.gov/6688749/
[Information system for supporting the Nursing Care Systematization].,"Malucelli A, Otemaier KR, Bonnet M, Cubas MR, Garcia TR.","{'name': 'Rev Bras Enferm', 'year': 2010, 'citation': 'Rev Bras Enferm. 2010 Jul-Aug;63(4):629-36. doi: 10.1590/s0034-71672010000400020.'}",20835670,8,https://pubmed.ncbi.nlm.nih.gov/20835670/
[The concept of constructing a uniform state information system on transplantation in Ukraine].,"Serdiuk AM, Bugaev VN, Gorban' EN.","{'name': 'Lik Sprava', 'year': 1998, 'citation': 'Lik Sprava. 1998 Mar-Apr;(2):3-8.'}",9670640,8,https://pubmed.ncbi.nlm.nih.gov/9670640/
Information system for monitoring environmental impacts of genetically modified organisms.,"Reuter H, Middelhoff U, Graef F, Verhoeven R, Batz T, Weis M, Schmidt G, Schröder W, Breckling B.","{'name': 'Environ Sci Pollut Res Int', 'year': 2010, 'citation': 'Environ Sci Pollut Res Int. 2010 Sep;17(8):1479-90. doi: 10.1007/s11356-010-0334-y. Epub 2010 Apr 23.'}",20414731,8,https://pubmed.ncbi.nlm.nih.gov/20414731/
Medicaid program; Medicaid Management Information System proposed system requirements--HCFA. Proposed notice.,[No authors listed],"{'name': 'Fed Regist', 'year': 1983, 'citation': 'Fed Regist. 1983 Apr 19;48(76):16750-4.'}",10299047,8,https://pubmed.ncbi.nlm.nih.gov/10299047/
The patient information system.,Beechinor MT.,"{'name': 'Med Rec Health Care Inf J', 'year': 1983, 'citation': 'Med Rec Health Care Inf J. 1983 Feb;24(1):125-6.'}",10259558,8,https://pubmed.ncbi.nlm.nih.gov/10259558/
Implementing an information system.,Weilert M.,"{'name': 'Clin Lab Med', 'year': 1983, 'citation': 'Clin Lab Med. 1983 Mar;3(1):233-50.'}",6340934,8,https://pubmed.ncbi.nlm.nih.gov/6340934/
An architecture model for multiple disease management information systems.,"Chen L, Yu HC, Li HC, Wang YV, Chen HJ, Wang IC, Wang CS, Peng HY, Hsu YL, Chen CH, Chuang LM, Lee HC, Chung Y, Lai F.","{'name': 'J Med Syst', 'year': 2013, 'citation': 'J Med Syst. 2013 Apr;37(2):9931. doi: 10.1007/s10916-013-9931-x. Epub 2013 Feb 20.'}",23423776,8,https://pubmed.ncbi.nlm.nih.gov/23423776/
"[Construction and application of immunization information system based on children cases collected by vaccination clinic clients in Shandong Province, China].","Zhang WY, Xu Q, Liu SN, Zhang YJ, Luan GJ, Zeng Z, Zhong YP, Yang W, Xu AQ.","{'name': 'Zhonghua Yu Fang Yi Xue Za Zhi', 'year': 2019, 'citation': 'Zhonghua Yu Fang Yi Xue Za Zhi. 2019 Sep 6;53(9):951-954. doi: 10.3760/cma.j.issn.0253-9624.2019.09.017.'}",31474081,8,https://pubmed.ncbi.nlm.nih.gov/31474081/
[Information system in nursing: interacion of tacit-explicit knowledge].,dos Santos SR.,"{'name': 'Rev Bras Enferm', 'year': 2005, 'citation': 'Rev Bras Enferm. 2005 Jan-Feb;58(1):100-4. doi: 10.1590/s0034-71672005000100020.'}",16268294,8,https://pubmed.ncbi.nlm.nih.gov/16268294/
An informatics blueprint for healthcare quality information systems.,"Niland JC, Rouse L, Stahl DC.","{'name': 'J Am Med Inform Assoc', 'year': 2006, 'citation': 'J Am Med Inform Assoc. 2006 Jul-Aug;13(4):402-17. doi: 10.1197/jamia.M2050. Epub 2006 Apr 18.'}",16622161,9,https://pubmed.ncbi.nlm.nih.gov/16622161/
Addressing critical issues in the development of an Oncology Information System.,"Urda D, Ribelles N, Subirats JL, Franco L, Alba E, Jerez JM.","{'name': 'Int J Med Inform', 'year': 2013, 'citation': 'Int J Med Inform. 2013 May;82(5):398-407. doi: 10.1016/j.ijmedinf.2012.08.001. Epub 2012 Sep 14.'}",22981645,9,https://pubmed.ncbi.nlm.nih.gov/22981645/
Basic charasteristics of information system of health insurance in FB&H.,"Dzubur A, Besić A, Omanić A, Dzubur A, Niksić D.","{'name': 'Bosn J Basic Med Sci', 'year': 2004, 'citation': 'Bosn J Basic Med Sci. 2004 Oct;4(4):45-50. doi: 10.17305/bjbms.2004.3361.'}",15628996,9,https://pubmed.ncbi.nlm.nih.gov/15628996/
Information integration in health care organizations: The case of a European health system.,"Calciolari S, Buccoliero L.","{'name': 'Health Care Manage Rev', 'year': 2010, 'citation': 'Health Care Manage Rev. 2010 Jul-Sep;35(3):266-75. doi: 10.1097/HMR.0b013e3181d5b109.'}",20551774,9,https://pubmed.ncbi.nlm.nih.gov/20551774/
The Birth Defects Information System (BDIS): online information and diagnostic assist.,Buyse ML.,"{'name': 'Birth Defects Orig Artic Ser', 'year': 1984, 'citation': 'Birth Defects Orig Artic Ser. 1984;20(6):85-90.'}",6399002,9,https://pubmed.ncbi.nlm.nih.gov/6399002/
